,Results,PlayerStartingTrophies,OpponentStartingTrophies,PlayerMaxTrophies,OpponentMaxTrophies,PlayerKingTowers,OpponentKingTowers
320,0,7008,7058,7762,7774,13,13
321,1,7008,7058,7762,7774,13,13
322,1,6925,5020,7762,5567,13,12
323,1,6676,6621,8272,7015,13,13
324,1,6676,5642,8272,6106,13,12
325,1,5359,30,6760,30,13,1
326,1,5359,30,6760,30,13,1
327,0,5359,30,6760,30,13,1
328,0,5359,30,6760,30,13,1
329,0,5359,30,6760,30,13,1
330,1,5359,30,6760,30,13,1
331,1,5028,4080,6448,4716,13,10
332,1,5028,4080,6448,4716,13,10
333,1,5028,4080,6448,4716,13,10
334,0,5028,4080,6448,4716,13,10
335,0,4647,4991,5501,6809,11,13
336,1,4652,4155,5628,5224,12,11
337,1,4620,4507,5628,5132,12,11
338,1,4620,4507,5628,5132,12,11
339,0,4620,6110,5628,7399,12,13
340,0,4620,6110,5628,7399,12,13
341,0,4620,6110,5628,7399,12,13
342,0,4620,6110,5628,7399,12,13
343,0,4433,4667,6312,5368,13,11
344,1,4433,4667,6312,5368,13,11
345,1,4865,5333,6312,5368,13,11
346,1,4865,5128,6312,5368,13,11
347,0,4865,4968,6312,5368,13,11
348,0,4865,4968,6312,5368,13,11
